timestamp,sleep_event
2025-05-16 22:44:37,SOUND
2025-05-16 22:56:59,SOUND
2025-05-16 23:24:15,SOUND
2025-05-16 23:25:34,SOUND
2025-05-16 23:26:17,SOUND
2025-05-16 23:26:40,SOUND
2025-05-16 23:30:28,SOUND
2025-05-16 23:38:48,SOUND
2025-05-16 23:51:48,SOUND
2025-05-16 23:53:13,SOUND
2025-05-16 23:54:59,SOUND
2025-05-16 23:56:14,SOUND
2025-05-16 23:56:25,SOUND
2025-05-17 00:02:55,SOUND
2025-05-17 00:57:25,SOUND
2025-05-17 00:59:27,SOUND
2025-05-17 09:52:19,SOUND
2025-05-17 10:01:16,SOUND
2025-05-17 10:13:10,SOUND
2025-05-17 10:13:23,SOUND
2025-05-17 10:20:46,SOUND
2025-05-17 10:37:31,SOUND
2025-05-17 10:47:11,MOVEMENT
2025-05-17 10:47:51,SOUND
2025-05-17 10:55:53,LIGHT
2025-05-17 10:56:00,LIGHT
2025-05-17 11:10:34,SOUND
2025-05-17 11:18:03,LIGHT
2025-05-17 11:19:03,SOUND
2025-05-17 11:19:05,MOVEMENT
2025-05-17 11:19:06,LIGHT
2025-05-17 11:19:32,SOUND
2025-05-17 11:20:37,SOUND
2025-05-17 11:25:02,SOUND
2025-05-17 11:57:24,LIGHT
2025-05-17 11:57:38,SOUND
